Stress132,,Holds,Holds,UD Latencies,UD Latencies,DD Latencies,DD Latencies
,,mean,std,mean,std,mean,std
subject,sessionIndex,,,,,,
s258,3,101.333,38.112,32.276,101.639,135.271,98.15
s258,4,100.835,34.567,31.67,106.03,134.072,102.013
s259,1,108.406,33.983,21.282,69.501,128.553,61.221
s259,2,107.454,31.263,20.399,70.186,127.091,61.481
s259,3,104.583,29.451,8.359,64.717,113.146,53.449
s259,4,105.909,31.163,10.503,71.707,115.449,58.57
s261,1,94.952,38.735,21.125,78.403,112.414,66.825
s261,2,93.636,35.412,13.422,64.632,103.889,48.091
s261,3,94.3,36.728,10.245,69.371,100.677,51.438
s261,4,89.37,34.42,12.992,62.681,97.923,45.191
s262,1,114.975,29.107,21.029,58.459,136.252,44.899
s262,2,120.027,31.718,10.125,62.644,130.181,49.311
s262,3,120.024,30.207,3.621,62.775,123.868,50.241
s262,4,121.905,31.774,2.325,63.874,124.335,51.324
s263,1,86.574,27.194,27.538,53.621,112.679,44.33
s263,2,88.645,27.281,37.58,66.349,124.753,59.513
s263,3,86.521,28.86,28.749,61.878,113.531,53.859
s263,4,87.276,30.272,30.019,61.574,115.562,51.799
s264,1,68.152,10.942,121.14,144.788,189.287,143.025
s264,2,69.458,10.373,106.509,134.83,175.963,134.2
s264,3,67.1,10.339,113.696,127.484,180.566,126.129
s264,4,67.882,10.469,101.939,147.921,169.611,147.256
s265,1,92.408,23.059,73.669,88.672,166.707,88.247
s265,2,98.562,28.287,70.564,86.032,169.53,85.421
s265,3,97.573,30.109,64.14,92.295,162.256,91.867
s265,4,99.881,32.602,68.013,91.186,167.888,88.697
s266,1,80.892,26.882,111.848,152.534,192.604,155.454
s266,2,76.39,23.151,98.924,129.219,174.28,132.529
s266,3,75.055,20.757,74.036,96.944,148.129,100.008
s266,4,74.983,23.437,74.317,95.179,147.746,98.999
s267,1,112.298,38.361,12.471,69.327,113.739,60.798
s267,2,125.085,44.756,2.952,80.298,117.232,66.27
s267,3,130.029,51.248,-9.713,83.425,110.36,57.842
s267,4,129.959,50.795,-15.655,76.715,105.091,48.006
s268,1,137.742,58.123,45.561,150.032,175.848,140.372
s268,2,141.511,58.478,35.704,132.627,168.977,120.722
s268,3,136.277,55.467,37.597,116.999,166.149,103.976
s268,4,141.795,57.898,24.908,94.726,157.756,72.946
s270,1,110.193,38.559,33.175,89.133,143.895,80.557
s270,2,106.233,35.415,29.014,91.197,136.07,82.572
s270,3,99.849,37.111,17.018,71.971,117.072,59.009
s270,4,109.318,39.472,17.06,80.79,126.025,69.774
s271,1,68.65,14.752,138.63,131.731,207.272,130.848
s271,2,73.985,15.48,124.776,116.704,198.888,116.245
s271,3,67.813,13.481,108.037,90.737,175.89,89.877
s271,4,62.843,13.068,105.737,80.931,168.529,80.669
s272,1,77.228,17.1,105.07,109.605,182.287,108.832
s272,2,81.114,18.078,106.802,95.532,188.001,95.626
s272,3,79.474,19.041,97.157,106.485,176.827,106.214
s272,4,81.753,19.588,103.313,105.084,185.107,104.778
s273,1,95.35,21.693,91.231,254.25,186.846,252.933
s273,2,103.38,25.416,75.576,79.653,179.155,80.626
s273,3,96.177,25.679,66.666,71.158,163.077,70.711
s273,4,100.311,27.66,67.255,70.032,167.811,70.032
s274,1,94.352,35.318,76.669,93.796,171.818,87.113
s274,2,113.152,36.124,40.889,86.772,154.824,76.994
s274,3,119.99,39.782,28.03,92.725,147.378,78.034
s274,4,120.912,39.934,29.769,90.17,150.029,76.441
s275,1,114.946,40.08,19.933,96.421,129.704,84.395
s275,2,117.998,40.112,16.662,89.827,129.097,78.4
s275,3,121.104,44.52,1.807,87.367,117.921,73.808
s275,4,121.578,49.639,13.045,99.347,129.604,86.107
s276,1,77.646,24.088,89.624,110.053,166.854,104.758
s276,2,92.384,32.055,73.417,101.772,164.962,97.185
s276,3,90.395,31.933,82.231,104.8,172.542,98.709
s276,4,93.189,34.474,69.386,87.086,162.436,81.192
s277,1,57.894,13.221,106.355,92.452,164.719,93.383
s277,2,61.338,14.118,105.306,98.994,167.068,100.488
s277,3,57.993,13.326,107.781,96.677,166.066,98.605
s277,4,59.739,14.015,92.129,75.106,152.157,76.663
s278,1,66.859,19.765,54.129,78.31,121.784,75.931
s278,2,77.39,28.165,46.559,78.877,124.96,70.542
s278,3,73.022,26.692,45.359,78.763,119.156,72.19
s278,4,80.949,30.839,44.59,77.748,126.278,68.205
s279,1,86.342,34.772,58.359,99.295,143.671,95.587
s279,2,91.69,40.585,52.929,85.223,142.299,78.471
s279,3,95.643,42.886,34.18,76.682,126.301,69.262
s279,4,95.313,42.719,37.777,80.086,129.265,69.495
s280,1,78.179,19.216,113.948,184.822,192.271,181.54
s280,2,81.083,19.88,103.716,138.81,185.123,134.75
s280,3,78.019,19.446,99.016,128.597,177.313,124.219
s280,4,74.406,18.102,110.47,142.232,185.104,138.308
s281,1,78.408,12.285,107.147,108.306,185.412,109.748
s281,2,81.953,12.452,111.146,116.487,193.103,118.096
s281,3,81.855,12.755,120.047,124.98,201.932,127.212
s281,4,81.467,14.355,129.241,146.548,210.714,147.213
s282,1,81.26,21.307,114.957,70.663,196.494,63.912
s282,2,79.317,19.13,117.296,73.964,196.807,70.494
s282,3,71.392,14.759,114.574,66.628,185.981,64.985
s282,4,77.174,14.686,118.763,74.323,196.004,72.993
s283,1,87.302,16.189,112.056,95.181,199.301,93.285
s283,2,91.182,23.11,89.184,100.56,180.352,96.388
s283,3,90.898,21.856,75.846,86.307,166.917,82.826
s283,4,87.753,18.725,83.595,81.524,171.506,78.589
s284,1,96.363,31.4,78.844,118.673,171.956,113.013
s284,2,104.509,30.255,59.89,103.647,158.1,100.773
s284,3,102.98,40.469,53.114,107.596,149.326,104.059
s284,4,106.72,34.615,45.762,99.351,145.946,97.742
s285,1,98.608,34.824,81.585,147.439,179.557,144.0
s285,2,106.773,37.784,64.548,128.837,171.03,128.932
s285,3,99.985,41.915,53.234,128.631,154.389,126.689
s285,4,98.334,38.395,58.454,125.315,157.773,123.127
s286,1,113.904,33.123,73.363,108.061,183.646,106.461
s286,2,122.055,42.192,29.444,75.263,146.088,70.377
s286,3,119.617,44.145,21.274,73.141,133.92,65.823
s286,4,118.748,44.214,27.389,84.569,140.106,80.44
s287,1,79.131,15.378,71.19,92.587,149.08,91.718
s287,2,82.226,18.265,51.669,74.553,132.736,71.263
